City,Latitude,Longitude,Population,Land Area,Water Area
"Melbourne, FL, USA",28.118488,-80.670372,84678,44.15,5.82
"Lake City, FL, USA",30.189375,-82.648254,12329,11.85,0.40
"Hallandale Beach, FL, USA",25.987219,-80.153206,41217,4.21,0.40
"Fort Pierce, FL, USA",27.450266,-80.339951,47297,23.79,6.05
"Delray Beach, FL, USA",26.459763,-80.105545,5,15.92,0.59
"Rockledge, FL, USA",28.316528,-80.74659,27678,13.22,1.72
"Boca Raton, FL, USA",26.376032,-80.12236,97422,29.18,2.41
"New Castle, DE, USA",39.668564,-75.586189,5551,3.48,0.04
"Milford, DE, USA",38.917534,-75.441925,11190,9.85,0.09
"Lewes, DE, USA",38.781082,-75.15715,3303,4.19,0.92
"Roswell, NM, USA",33.400322,-104.534897,48422,29.72,0.06
"West Haven, CT, USA",41.275898,-72.975739,48422,29.72,0.06
"Torrington, CT, USA",41.806595,-73.130592,35515,39.77,0.56
"Shelton, CT, USA",41.306583,-73.143768,40869,30.63,1.27
"Norwalk, CT, USA",41.12188,-73.436432,91184,22.89,13.49
"New Britain, CT, USA",41.681408,-72.794746,74135,13.36,0.07
"Middletown, CT, USA",41.562794,-72.68161,74135,13.36,0.07
"Belle Glade, FL, USA",26.687412,-80.681831,16698,6.97,0.06
"Bartow, FL, USA",27.891005,-81.847359,19309,46.42,6.36
"Atlantic City, NJ, USA",39.370121,-74.438942,38497,10.76,6.45
"Albany, GA, USA",31.594915,-84.224236,68089,55.06,0.76
"Jacksonville, IL, USA",39.74155,-90.256218,17616,10.56,0.20
"Idaho City, ID, USA",43.82885,-115.83786,17616,10.56,0.20
"Coral Gables, FL, USA",25.750156,-80.27964,49248,12.93,24.38
"Derby, CT, USA",41.329334,-73.094406,12325,5.06,0.35
"Bristol, CT, USA",41.685173,-72.962708,60941,26.41,0.40
"Ansonia, CT, USA",41.346439,-73.084938,60941,26.41,0.40
"Walsenburg, CO, USA",37.630322,-104.790543,3049,2.99,0.00
"Sterling, CO, USA",40.626743,-103.217026,14777,7.43,0.00
"Steamboat Springs, CO, USA",40.490429,-106.842384,13224,9.89,0.01
"Ouray, CO, USA",38.025131,-107.67588,1000,0.86,0.00
"Leadville, CO, USA",39.247478,-106.300194,2633,1.17,0.00
"Gunnison, CO, USA",38.547871,-106.938622,6560,4.849,0.000
"Fort Morgan, CO, USA",40.255306,-103.803062,11597,5.334,0.069
"Panama City, FL, USA",30.193626,-85.683029,35392,35.12,6.15
"Miami Beach, FL, USA",25.793449,-80.139198,82890,7.69,7.53
"Cripple Creek, CO, USA",38.749077,-105.18306,1155,1.522,0.000
"Central City, CO, USA",39.803318,-105.51683,779,2.1597,0.0001
"Cañon City, CO, USA",38.444931,-105.24572,17141,12.392,0.012
"Brighton, CO, USA",39.969753,-104.836723,40083,21.247,0.288
